Gas Boiler Output (MWh),Oil Boiler Output (MWh),Gas Motor Output (MWh),Electric Boiler Output (MWh),Total Electricity Production (MWh),Total Production Cost (DKK/MWh),Total Gas Consumption (MWh(gas)),Total Oil Consumption (MWh(oil)),Total CO2 Emissions (kg)
2,6599999999999997,0,3,6,0,2,7,2270,49,9,766,0,2875,9
2,7899999999999996,0,3,6,0,2,7,2294,29,9,908999999999999,0,2903,85
3,36,0,3,6,0,2,7,2562,01,10,536,0,3026,4
3,4899999999999998,0,3,6,0,2,7,2506,00,10,679,0,3054,35
3,7399999999999998,0,3,6,0,2,7,1679,06,10,954,0,3108,1
3,2399999999999998,0,3,6,0,2,7,648,76,10,404,0,3000,6
3,3400000000000003,0,3,6,0,2,7,575,74,10,514000000000001,0,3022,1
3,2600000000000002,0,3,6,0,2,7,656,35,10,426,0,3004,9
3,1300000000000003,0,3,6,0,2,7,1050,65,10,283000000000001,0,2976,95
2,86,0,3,6,0,2,7,1565,89,9,986,0,2918,9
2,61,0,3,6,0,2,7,1800,67,9,711,0,2865,15
2,6599999999999997,0,3,6,0,2,7,1887,98,9,766,0,2875,9
2,7399999999999998,0,3,6,0,2,7,1927,98,9,854,0,2893,1
3,06,0,3,6,0,2,7,2067,89,10,206,0,2961,9
3,11,0,3,6,0,2,7,1505,35,10,261,0,2972,65
3,2099999999999995,0,3,6,0,2,7,794,97,10,370999999999999,0,2994,1499999999996
2,8699999999999997,0,3,6,0,2,7,-53,21,9,997,0,2921,05
2,6599999999999997,0,3,6,0,2,7,147,32,9,766,0,2875,9
2,6,0,3,6,0,2,7,494,00,9,7,0,2863
2,6199999999999997,0,3,6,0,2,7,884,70,9,722,0,2867,3
2,5500000000000003,0,3,6,0,2,7,1009,48,9,645,0,2852,25
2,5900000000000003,0,3,6,0,2,7,1247,56,9,689,0,2860,85
2,5500000000000003,0,3,6,0,2,7,1517,54,9,645,0,2852,25
2,73,0,3,6,0,2,7,1673,91,9,843,0,2890,95
2,72,0,3,6,0,2,7,1672,15,9,832,0,2888,8
2,78,0,3,6,0,2,7,1702,93,9,898,0,2901,7
3,4199999999999995,0,3,6,0,2,7,2018,91,10,602,0,3039,2999999999997
3,61,0,3,6,0,2,7,1920,64,10,811,0,3080,15
3,8000000000000003,0,3,6,0,2,7,1527,16,11,02,0,3121
3,32,0,3,6,0,2,7,608,00,10,492,0,3017,8
3,4599999999999995,0,3,6,0,2,7,537,44,10,645999999999999,0,3047,8999999999996
3,4199999999999995,0,3,6,0,2,7,1047,96,10,602,0,3039,2999999999997
3,52,0,3,6,0,2,7,1949,46,10,712,0,3060,8
3,48,0,3,6,0,2,7,1911,37,10,668,0,3052,2
3,48,0,3,6,0,2,7,2088,33,10,668,0,3052,2
3,4,0,3,6,0,2,7,2147,88,10,58,0,3035
3,0399999999999996,0,3,6,0,2,7,1937,31,10,184,0,2957,6
3,4899999999999998,0,3,6,0,2,7,2053,91,10,679,0,3054,35
3,47,0,3,6,0,2,7,1634,05,10,657,0,3050,05
3,43,0,3,6,0,2,7,1048,75,10,613,0,3041,45
2,93,0,3,6,0,2,7,413,00,10,063,0,2933,95
2,78,0,3,6,0,2,7,479,18,9,898,0,2901,7
2,9099999999999997,0,3,6,0,2,7,889,30,10,041,0,2929,65
2,7399999999999998,0,3,6,0,2,7,1120,44,9,854,0,2893,1
2,81,0,3,6,0,2,7,1337,64,9,931000000000001,0,2908,15
2,7499999999999996,0,3,6,0,2,7,1494,66,9,865,0,2895,25
